Epoch= 0, Minibatch Loss= 18.335670, Training Accuracy= 0.22000
Testing Accuracy 0: 0.34
Epoch= 1, Minibatch Loss= 17.539963, Training Accuracy= 0.30000
Epoch= 2, Minibatch Loss= 13.875797, Training Accuracy= 0.36000
Epoch= 3, Minibatch Loss= 19.005268, Training Accuracy= 0.20000
Epoch= 4, Minibatch Loss= 18.364315, Training Accuracy= 0.18000
Epoch= 5, Minibatch Loss= 14.883710, Training Accuracy= 0.26000
Epoch= 6, Minibatch Loss= 17.758289, Training Accuracy= 0.16000
Epoch= 7, Minibatch Loss= 14.913757, Training Accuracy= 0.18000
Epoch= 8, Minibatch Loss= 17.647657, Training Accuracy= 0.16000
Epoch= 9, Minibatch Loss= 11.659507, Training Accuracy= 0.26000
Epoch= 10, Minibatch Loss= 14.486626, Training Accuracy= 0.20000
Epoch= 11, Minibatch Loss= 15.494255, Training Accuracy= 0.24000
Epoch= 12, Minibatch Loss= 15.714788, Training Accuracy= 0.20000
Epoch= 13, Minibatch Loss= 13.845563, Training Accuracy= 0.32000
Epoch= 14, Minibatch Loss= 13.155016, Training Accuracy= 0.26000
Epoch= 15, Minibatch Loss= 12.552627, Training Accuracy= 0.28000
Epoch= 16, Minibatch Loss= 9.866220, Training Accuracy= 0.28000
Epoch= 17, Minibatch Loss= 13.918287, Training Accuracy= 0.28000
Epoch= 18, Minibatch Loss= 14.431677, Training Accuracy= 0.28000
Epoch= 19, Minibatch Loss= 13.307102, Training Accuracy= 0.28000
Epoch= 20, Minibatch Loss= 11.147301, Training Accuracy= 0.30000
Epoch= 21, Minibatch Loss= 10.371342, Training Accuracy= 0.36000
Epoch= 22, Minibatch Loss= 13.087934, Training Accuracy= 0.22000
Epoch= 23, Minibatch Loss= 9.596008, Training Accuracy= 0.34000
Epoch= 24, Minibatch Loss= 14.020433, Training Accuracy= 0.28000
Epoch= 25, Minibatch Loss= 12.454346, Training Accuracy= 0.28000
Epoch= 26, Minibatch Loss= 12.145791, Training Accuracy= 0.18000
Epoch= 27, Minibatch Loss= 11.461562, Training Accuracy= 0.28000
Epoch= 28, Minibatch Loss= 9.566595, Training Accuracy= 0.34000
Epoch= 29, Minibatch Loss= 13.883289, Training Accuracy= 0.20000
Epoch= 30, Minibatch Loss= 13.241821, Training Accuracy= 0.30000
Epoch= 31, Minibatch Loss= 10.269961, Training Accuracy= 0.36000
Epoch= 32, Minibatch Loss= 9.867263, Training Accuracy= 0.30000
Epoch= 33, Minibatch Loss= 12.343893, Training Accuracy= 0.22000
Epoch= 34, Minibatch Loss= 9.799954, Training Accuracy= 0.34000
Epoch= 35, Minibatch Loss= 13.293658, Training Accuracy= 0.20000
Epoch= 36, Minibatch Loss= 14.490971, Training Accuracy= 0.12000
Epoch= 37, Minibatch Loss= 8.134269, Training Accuracy= 0.32000
Epoch= 38, Minibatch Loss= 11.364141, Training Accuracy= 0.12000
Epoch= 39, Minibatch Loss= 12.289559, Training Accuracy= 0.32000
Epoch= 40, Minibatch Loss= 11.662782, Training Accuracy= 0.18000
Epoch= 41, Minibatch Loss= 11.578056, Training Accuracy= 0.40000
Epoch= 42, Minibatch Loss= 12.057710, Training Accuracy= 0.30000
Epoch= 43, Minibatch Loss= 12.639491, Training Accuracy= 0.40000
Epoch= 44, Minibatch Loss= 13.444545, Training Accuracy= 0.18000
Epoch= 45, Minibatch Loss= 14.165638, Training Accuracy= 0.20000
Epoch= 46, Minibatch Loss= 14.847912, Training Accuracy= 0.16000
Epoch= 47, Minibatch Loss= 12.686982, Training Accuracy= 0.20000
Epoch= 48, Minibatch Loss= 9.931949, Training Accuracy= 0.36000
Epoch= 49, Minibatch Loss= 12.014412, Training Accuracy= 0.28000
Epoch= 50, Minibatch Loss= 12.807909, Training Accuracy= 0.28000
Epoch= 51, Minibatch Loss= 10.716068, Training Accuracy= 0.26000
Epoch= 52, Minibatch Loss= 12.113647, Training Accuracy= 0.28000
Epoch= 53, Minibatch Loss= 13.919304, Training Accuracy= 0.14000
Epoch= 54, Minibatch Loss= 11.859008, Training Accuracy= 0.32000
Epoch= 55, Minibatch Loss= 12.864450, Training Accuracy= 0.24000
Epoch= 56, Minibatch Loss= 8.948901, Training Accuracy= 0.28000
Epoch= 57, Minibatch Loss= 11.787000, Training Accuracy= 0.24000
Epoch= 58, Minibatch Loss= 13.073359, Training Accuracy= 0.20000
Epoch= 59, Minibatch Loss= 13.933186, Training Accuracy= 0.12000
Epoch= 60, Minibatch Loss= 12.275595, Training Accuracy= 0.30000
Epoch= 61, Minibatch Loss= 15.165906, Training Accuracy= 0.20000
Epoch= 62, Minibatch Loss= 13.975338, Training Accuracy= 0.18000
Epoch= 63, Minibatch Loss= 11.301367, Training Accuracy= 0.24000
Epoch= 64, Minibatch Loss= 9.437815, Training Accuracy= 0.40000
Epoch= 65, Minibatch Loss= 12.974531, Training Accuracy= 0.18000
Epoch= 66, Minibatch Loss= 13.807199, Training Accuracy= 0.16000
Epoch= 67, Minibatch Loss= 13.223960, Training Accuracy= 0.18000
Epoch= 68, Minibatch Loss= 11.834695, Training Accuracy= 0.26000
Epoch= 69, Minibatch Loss= 10.357067, Training Accuracy= 0.30000
Epoch= 70, Minibatch Loss= 10.886637, Training Accuracy= 0.26000
Epoch= 71, Minibatch Loss= 13.380893, Training Accuracy= 0.26000
