Epoch= 0, Minibatch Loss= 23.520184, Training Accuracy= 3.92964
Epoch= 1, Minibatch Loss= 22.725735, Training Accuracy= 3.82991
Epoch= 2, Minibatch Loss= 19.836145, Training Accuracy= 3.49422
Epoch= 3, Minibatch Loss= 33.809383, Training Accuracy= 4.78858
Epoch= 4, Minibatch Loss= 17.722580, Training Accuracy= 3.53493
Epoch= 5, Minibatch Loss= 27.877769, Training Accuracy= 4.31183
Epoch= 6, Minibatch Loss= 23.081566, Training Accuracy= 3.89075
Epoch= 7, Minibatch Loss= 25.296097, Training Accuracy= 4.07862
Epoch= 8, Minibatch Loss= 24.818670, Training Accuracy= 3.78352
Epoch= 9, Minibatch Loss= 17.798256, Training Accuracy= 3.59674
Epoch= 10, Minibatch Loss= 13.652386, Training Accuracy= 2.82053
Epoch= 11, Minibatch Loss= 18.418734, Training Accuracy= 3.40601
Epoch= 12, Minibatch Loss= 21.329453, Training Accuracy= 3.75323
Epoch= 13, Minibatch Loss= 18.678949, Training Accuracy= 3.35032
Epoch= 14, Minibatch Loss= 25.130865, Training Accuracy= 4.15690
Epoch= 15, Minibatch Loss= 20.768835, Training Accuracy= 3.87966
Epoch= 16, Minibatch Loss= 26.168999, Training Accuracy= 3.75862
Epoch= 17, Minibatch Loss= 19.802704, Training Accuracy= 3.28156
Epoch= 18, Minibatch Loss= 22.382576, Training Accuracy= 3.88816
Epoch= 19, Minibatch Loss= 14.871184, Training Accuracy= 3.05890
Epoch= 20, Minibatch Loss= 21.397791, Training Accuracy= 3.52018
Epoch= 21, Minibatch Loss= 23.213022, Training Accuracy= 3.85744
Epoch= 22, Minibatch Loss= 26.249826, Training Accuracy= 4.18796
Epoch= 23, Minibatch Loss= 18.963757, Training Accuracy= 3.51848
Epoch= 24, Minibatch Loss= 16.110065, Training Accuracy= 3.29977
Epoch= 25, Minibatch Loss= 23.246861, Training Accuracy= 3.87149
Epoch= 26, Minibatch Loss= 23.631685, Training Accuracy= 3.81119
Epoch= 27, Minibatch Loss= 19.519423, Training Accuracy= 3.57356
