Epoch= 0, Minibatch Loss= 220.299591, Training Accuracy= 14.63571
Epoch= 1, Minibatch Loss= 40.913372, Training Accuracy= 5.76712
Epoch= 2, Minibatch Loss= 13.708210, Training Accuracy= 2.98015
Epoch= 3, Minibatch Loss= 7.480839, Training Accuracy= 2.02779
Epoch= 4, Minibatch Loss= 5.113153, Training Accuracy= 1.89858
Epoch= 5, Minibatch Loss= 14.321742, Training Accuracy= 2.97394
Epoch= 6, Minibatch Loss= 9.771397, Training Accuracy= 2.37549
Epoch= 7, Minibatch Loss= 8.704500, Training Accuracy= 2.32823
Epoch= 8, Minibatch Loss= 6.484877, Training Accuracy= 1.95590
Epoch= 9, Minibatch Loss= 7.939285, Training Accuracy= 2.06577
Epoch= 10, Minibatch Loss= 5.642449, Training Accuracy= 2.03449
Epoch= 11, Minibatch Loss= 5.159564, Training Accuracy= 1.68925
Epoch= 12, Minibatch Loss= 5.083951, Training Accuracy= 1.73573
Epoch= 13, Minibatch Loss= 4.116066, Training Accuracy= 1.63090
Epoch= 14, Minibatch Loss= 5.097263, Training Accuracy= 1.76021
Epoch= 15, Minibatch Loss= 4.293786, Training Accuracy= 1.62831
Epoch= 16, Minibatch Loss= 4.291385, Training Accuracy= 1.53175
Epoch= 17, Minibatch Loss= 6.214302, Training Accuracy= 1.86276
Epoch= 18, Minibatch Loss= 7.030155, Training Accuracy= 2.18212
Epoch= 19, Minibatch Loss= 8.223651, Training Accuracy= 2.28643
Epoch= 20, Minibatch Loss= 6.834012, Training Accuracy= 2.14298
Epoch= 21, Minibatch Loss= 7.303463, Training Accuracy= 2.09927
Epoch= 22, Minibatch Loss= 7.983167, Training Accuracy= 2.19615
Epoch= 23, Minibatch Loss= 3.695830, Training Accuracy= 1.45312
Epoch= 24, Minibatch Loss= 5.767051, Training Accuracy= 1.86224
Epoch= 25, Minibatch Loss= 5.379687, Training Accuracy= 1.84400
Epoch= 26, Minibatch Loss= 4.428241, Training Accuracy= 1.69030
Epoch= 27, Minibatch Loss= 5.640772, Training Accuracy= 1.80880
Epoch= 28, Minibatch Loss= 4.729521, Training Accuracy= 1.65943
Epoch= 29, Minibatch Loss= 4.258533, Training Accuracy= 1.51136
Epoch= 30, Minibatch Loss= 5.148198, Training Accuracy= 1.68733
Epoch= 31, Minibatch Loss= 6.389039, Training Accuracy= 1.80803
Epoch= 32, Minibatch Loss= 3.957323, Training Accuracy= 1.55132
Epoch= 33, Minibatch Loss= 3.789232, Training Accuracy= 1.51005
Epoch= 34, Minibatch Loss= 7.810585, Training Accuracy= 2.17184
Epoch= 35, Minibatch Loss= 3.760435, Training Accuracy= 1.36172
Epoch= 36, Minibatch Loss= 4.997201, Training Accuracy= 1.65177
Epoch= 37, Minibatch Loss= 4.336998, Training Accuracy= 1.59673
Epoch= 38, Minibatch Loss= 4.562056, Training Accuracy= 1.71013
Epoch= 39, Minibatch Loss= 2.914393, Training Accuracy= 1.33053
Epoch= 40, Minibatch Loss= 3.691722, Training Accuracy= 1.33600
Epoch= 41, Minibatch Loss= 4.894672, Training Accuracy= 1.80052
Epoch= 42, Minibatch Loss= 4.972310, Training Accuracy= 1.64582
Epoch= 43, Minibatch Loss= 5.143825, Training Accuracy= 1.63082
Epoch= 44, Minibatch Loss= 5.600532, Training Accuracy= 1.81246
Epoch= 45, Minibatch Loss= 4.060187, Training Accuracy= 1.52171
Epoch= 46, Minibatch Loss= 5.537583, Training Accuracy= 1.77230
Epoch= 47, Minibatch Loss= 5.443000, Training Accuracy= 1.75602
Epoch= 48, Minibatch Loss= 4.040812, Training Accuracy= 1.50023
Epoch= 49, Minibatch Loss= 3.684973, Training Accuracy= 1.29626
Epoch= 50, Minibatch Loss= 4.068505, Training Accuracy= 1.49456
Epoch= 51, Minibatch Loss= 5.754881, Training Accuracy= 1.78309
Epoch= 52, Minibatch Loss= 3.194323, Training Accuracy= 1.39286
Epoch= 53, Minibatch Loss= 3.055392, Training Accuracy= 1.28033
Epoch= 54, Minibatch Loss= 4.610892, Training Accuracy= 1.61192
Epoch= 55, Minibatch Loss= 2.471949, Training Accuracy= 1.25539
Epoch= 56, Minibatch Loss= 4.932149, Training Accuracy= 1.69187
Epoch= 57, Minibatch Loss= 6.477740, Training Accuracy= 1.86391
Epoch= 58, Minibatch Loss= 2.781207, Training Accuracy= 1.26143
Epoch= 59, Minibatch Loss= 4.681631, Training Accuracy= 1.63245
Epoch= 60, Minibatch Loss= 5.500433, Training Accuracy= 1.78630
Epoch= 61, Minibatch Loss= 3.871235, Training Accuracy= 1.51435
Epoch= 62, Minibatch Loss= 4.064272, Training Accuracy= 1.51516
Epoch= 63, Minibatch Loss= 3.512504, Training Accuracy= 1.50538
Epoch= 64, Minibatch Loss= 5.687870, Training Accuracy= 1.88912
Epoch= 65, Minibatch Loss= 6.343314, Training Accuracy= 1.92080
Epoch= 66, Minibatch Loss= 4.427742, Training Accuracy= 1.61694
Epoch= 67, Minibatch Loss= 4.703997, Training Accuracy= 1.60827
Epoch= 68, Minibatch Loss= 3.996106, Training Accuracy= 1.55888
Epoch= 69, Minibatch Loss= 4.241706, Training Accuracy= 1.42630
Epoch= 70, Minibatch Loss= 4.772934, Training Accuracy= 1.75303
Epoch= 71, Minibatch Loss= 4.427606, Training Accuracy= 1.67623
Epoch= 72, Minibatch Loss= 3.796596, Training Accuracy= 1.43509
Epoch= 73, Minibatch Loss= 4.032348, Training Accuracy= 1.60702
Epoch= 74, Minibatch Loss= 5.551105, Training Accuracy= 1.72690
Epoch= 75, Minibatch Loss= 3.699163, Training Accuracy= 1.54717
Epoch= 76, Minibatch Loss= 4.120058, Training Accuracy= 1.59181
Epoch= 77, Minibatch Loss= 4.541407, Training Accuracy= 1.70826
Epoch= 78, Minibatch Loss= 3.243520, Training Accuracy= 1.34801
Epoch= 79, Minibatch Loss= 1.999975, Training Accuracy= 1.10513
Epoch= 80, Minibatch Loss= 4.526829, Training Accuracy= 1.62978
Epoch= 81, Minibatch Loss= 6.158072, Training Accuracy= 1.90141
Epoch= 82, Minibatch Loss= 4.767471, Training Accuracy= 1.54813
Epoch= 83, Minibatch Loss= 3.731482, Training Accuracy= 1.41048
Epoch= 84, Minibatch Loss= 2.726267, Training Accuracy= 1.34584
Epoch= 85, Minibatch Loss= 4.208032, Training Accuracy= 1.53023
Epoch= 86, Minibatch Loss= 4.022596, Training Accuracy= 1.52363
Epoch= 87, Minibatch Loss= 3.349234, Training Accuracy= 1.39862
Epoch= 88, Minibatch Loss= 4.551499, Training Accuracy= 1.66841
Epoch= 89, Minibatch Loss= 3.242754, Training Accuracy= 1.33463
Epoch= 90, Minibatch Loss= 4.151325, Training Accuracy= 1.55674
Epoch= 91, Minibatch Loss= 6.549731, Training Accuracy= 1.92609
Epoch= 92, Minibatch Loss= 3.124753, Training Accuracy= 1.41766
Epoch= 93, Minibatch Loss= 2.800374, Training Accuracy= 1.20533
Epoch= 94, Minibatch Loss= 3.422497, Training Accuracy= 1.36363
Epoch= 95, Minibatch Loss= 3.288325, Training Accuracy= 1.47873
Epoch= 96, Minibatch Loss= 2.793041, Training Accuracy= 1.26213
Epoch= 97, Minibatch Loss= 3.118730, Training Accuracy= 1.37659
Epoch= 98, Minibatch Loss= 4.677844, Training Accuracy= 1.68504
Epoch= 99, Minibatch Loss= 3.883906, Training Accuracy= 1.42352
Epoch= 100, Minibatch Loss= 4.036993, Training Accuracy= 1.48240
Epoch= 101, Minibatch Loss= 4.712754, Training Accuracy= 1.71194
Epoch= 102, Minibatch Loss= 2.944773, Training Accuracy= 1.40351
Epoch= 103, Minibatch Loss= 1.695189, Training Accuracy= 1.08086
Epoch= 104, Minibatch Loss= 2.454147, Training Accuracy= 1.15254
Epoch= 105, Minibatch Loss= 4.439364, Training Accuracy= 1.63103
Epoch= 106, Minibatch Loss= 3.553186, Training Accuracy= 1.29851
Epoch= 107, Minibatch Loss= 3.055745, Training Accuracy= 1.35854
Epoch= 108, Minibatch Loss= 3.040694, Training Accuracy= 1.32976
Epoch= 109, Minibatch Loss= 2.215038, Training Accuracy= 1.15176
Epoch= 110, Minibatch Loss= 2.068332, Training Accuracy= 1.09553
Epoch= 111, Minibatch Loss= 3.059042, Training Accuracy= 1.41328
Epoch= 112, Minibatch Loss= 3.193656, Training Accuracy= 1.33429
Epoch= 113, Minibatch Loss= 3.629167, Training Accuracy= 1.35229
Epoch= 114, Minibatch Loss= 3.191021, Training Accuracy= 1.25696
Epoch= 115, Minibatch Loss= 2.526070, Training Accuracy= 1.24909
Epoch= 116, Minibatch Loss= 4.007882, Training Accuracy= 1.57840
Epoch= 117, Minibatch Loss= 4.498224, Training Accuracy= 1.56993
Epoch= 118, Minibatch Loss= 3.015460, Training Accuracy= 1.20395
Epoch= 119, Minibatch Loss= 4.203432, Training Accuracy= 1.50835
Epoch= 120, Minibatch Loss= 2.298136, Training Accuracy= 1.19309
Epoch= 121, Minibatch Loss= 2.053083, Training Accuracy= 1.06442
Epoch= 122, Minibatch Loss= 3.384006, Training Accuracy= 1.29082
Epoch= 123, Minibatch Loss= 5.080768, Training Accuracy= 1.72427
Epoch= 124, Minibatch Loss= 2.324190, Training Accuracy= 1.07859
Epoch= 125, Minibatch Loss= 2.595938, Training Accuracy= 1.24688
Epoch= 126, Minibatch Loss= 3.975849, Training Accuracy= 1.44625
Epoch= 127, Minibatch Loss= 3.318183, Training Accuracy= 1.37641
Epoch= 128, Minibatch Loss= 2.999087, Training Accuracy= 1.34699
